#pragma: setsize=8 layout=Enumerate depth=1 maxsets=8 random
#☺←→↺
#-ᏍᎪ, -Ꮝ, -Ꮷ, -Ꮚ, -Ꮎ, -Ꮂ, 

#random: Ꮝ=ᏍᎪ, Ꮝ
#random: gb1=ᎣᏍᏓ=good, ᎤᏲᎢ=bad
#random: gb2=ᎣᏍᏓ=good, ᎤᏲᎢ=bad, ᎰᏩ=alright
<gb2><Ꮝ>?	Is it <=gb2>?
#ᎯᎪᏩᏘᎭ [hi²gowh²tị³ha] “You see him/her.”, Ꭿ̣ᎪᏩᏘᎭ [hị²gowh²tị³ha] “You see it.”
ᎯᎪᏘᎭ.     	You see him/her.
Ꭿ̣ᎪᏘᎭ.     	You see it.
ᎯᎪᏘᎭ<Ꮝ>?     	Do you see him/her?
Ꭿ̣ᎪᏘᎭ<Ꮝ>?     	Do you see it?
<an1> ᎯᎪᏘᎭ.	You see the <=an1>.
<in1> Ꭿ̣ᎪᏘᎭ.    	You see the <=in1>.
<an1><Ꮝ> ᎯᎪᏘᎭ? 	Do you see a <=an1>?
<in1><Ꮝ> Ꭿ̣ᎪᏘᎭ? 	Do you see the <=in1>?
ᏂᎯᏊ <an1> ᎯᎪᏘᎭ.	Only you are seeing the <=an1>.

#random: anp1=ᎩᏟ=dogs, ᏪᏌ=cats, ᏩᎭᏯ=wolves, ᏩᏯ=wolves, ᎠᏫ=deer, ᎠᎭᏫ=deer, ᏥᏍᏚ=rabbits, ᏙᏯ=beavers, ᎠᎨᏯ=women, ᎠᏍᎦᏯ=men

#ᎦᏥᎪᏩᏘᎭ [ga²ji²gowh²tị³ha] “I see them-animate.”, ᏕᏥ̣ᎪᏩᏘᎭ [de²jị²gowh²tị³ha] “I see them-inanimate.”
ᎦᏥᎪᏘᎭ.     	I see them.
ᏕᏥ̣ᎪᏘᎭ.     	I see them.
ᎦᏥᎪᏘᎭ<Ꮝ>?     	Do I see them?
ᏕᏥ̣ᎪᏘᎭ<Ꮝ>?     	Do I see them?
<anp1> ᎦᏥᎪᏘᎭ.	I see the <=anp1>.
<inp1> ᏕᏥ̣ᎪᏘᎭ.  	I see the <=inp1>.


#ᎦᎯᎪᏩᏘᎭ [ga²hi²gowh²tị³ha] “You see them-animate.”, ᏕᎯ̣ᎪᏩᏘᎭ [de²hị²gowh²tị³ha] “You see them-inanimate.”
ᎦᎯᎪᏘᎭ.          	You see them.
ᏕᎯ̣ᎪᏘᎭ.          	You see them.
ᎦᎯᎪᏘᎭ<Ꮝ>?       	Do you see them?
ᏕᎯ̣ᎪᏘᎭ<Ꮝ>?       	Do you see them?
<anp1><Ꮝ> ᎦᎯᎪᏘᎭ?	Do you see the <=anp1>?
<inp1><Ꮝ> ᏕᎯ̣ᎪᏘᎭ?	Do you see the <=inp1>?

